"okresVysledkyId","okresId","stranaId","hlasy","hlasyPct"
686,18,24,208,1.94
687,18,25,40,0.37
688,18,26,1205,11.21
689,18,27,1377,12.81
690,18,28,1027,9.56
691,18,29,13,0.12
692,18,30,2266,21.08
693,18,31,23,0.21
694,18,32,3,0.03
695,18,33,7,0.07
696,18,34,53,0.49
697,18,35,14,0.13
698,18,36,41,0.38
699,18,37,54,0.50
700,18,38,3,0.03
701,18,39,833,7.75
702,18,40,39,0.36
703,19,1,22,0.13
704,19,2,73,0.45
705,19,3,53,0.32
706,19,4,12,0.07
707,19,5,2126,13.01
708,19,6,281,1.72
709,19,7,727,4.45
710,19,8,12,0.07
711,19,9,1291,7.90
712,19,10,48,0.29
713,19,11,40,0.24
714,19,12,161,0.98
715,19,13,32,0.20
716,19,14,22,0.13
717,19,15,35,0.21
718,19,16,133,0.81
719,19,17,9,0.06
720,19,18,5,0.03
721,19,19,46,0.28
722,19,21,6,0.04
723,19,22,24,0.15
724,19,23,16,0.10
725,19,24,308,1.88
726,19,25,86,0.53
727,19,26,1688,10.33
728,19,27,2181,13.34
729,19,28,1567,9.59
730,19,29,46,0.28
731,19,30,3888,23.78
732,19,31,29,0.18
733,19,32,2,0.01
734,19,33,4,0.02
735,19,34,101,0.62
736,19,35,10,0.06
737,19,36,59,0.36
738,19,37,61,0.37
739,19,38,4,0.02
740,19,39,1058,6.47
741,19,40,81,0.50
742,20,1,26,0.11
743,20,2,85,0.35
744,20,3,87,0.35
745,20,4,14,0.06
746,20,5,3570,14.50
747,20,6,373,1.51
748,20,7,1003,4.07
749,20,8,7,0.03
750,20,9,1841,7.47
751,20,10,61,0.25
752,20,11,39,0.16
753,20,12,229,0.93
754,20,13,47,0.19
755,20,14,20,0.08
756,20,15,26,0.11
757,20,16,233,0.95
758,20,17,10,0.04
759,20,18,9,0.04
760,20,19,73,0.30
761,20,21,19,0.08
762,20,22,15,0.06
763,20,23,9,0.04
764,20,24,611,2.48
765,20,25,189,0.77
766,20,26,2993,12.15
767,20,27,3420,13.89
768,20,28,2108,8.56
769,20,29,18,0.07
770,20,30,5657,22.97
771,20,31,69,0.28
772,20,32,16,0.06
773,20,33,8,0.03
774,20,34,142,0.58
775,20,35,50,0.20
776,20,36,118,0.48
777,20,37,127,0.52
778,20,38,3,0.01
779,20,39,1204,4.89
780,20,40,100,0.41
781,21,1,22,0.18
782,21,2,49,0.39
783,21,3,34,0.27
784,21,4,15,0.12
785,21,5,1794,14.40
786,21,6,263,2.11
787,21,7,609,4.89
788,21,8,10,0.08
789,21,9,1139,9.14
790,21,10,22,0.18
791,21,11,36,0.29
792,21,12,125,1.00
793,21,13,19,0.15
794,21,14,10,0.08
795,21,15,12,0.10
796,21,16,91,0.73
797,21,17,5,0.04
798,21,18,4,0.03
799,21,19,69,0.55
800,21,21,2,0.02
801,21,22,14,0.11
802,21,23,8,0.06
803,21,24,224,1.80
804,21,25,48,0.39
805,21,26,1242,9.97
806,21,27,1302,10.45
