"obecVysledkyId","obecId","nuts5","stranaId","hlasy","hlasyPct"
311,9,"500216",2,39,0.31
312,9,"500216",3,49,0.39
313,9,"500216",4,11,0.09
314,9,"500216",5,2617,20.61
315,9,"500216",6,105,0.83
316,9,"500216",7,359,2.83
317,9,"500216",8,4,0.03
318,9,"500216",9,424,3.34
319,9,"500216",10,18,0.14
320,9,"500216",11,20,0.16
321,9,"500216",12,61,0.48
322,9,"500216",13,16,0.13
323,9,"500216",14,4,0.03
324,9,"500216",15,4,0.03
325,9,"500216",16,98,0.77
326,9,"500216",17,10,0.08
327,9,"500216",18,3,0.02
328,9,"500216",19,20,0.16
329,9,"500216",22,14,0.11
330,9,"500216",23,12,0.09
331,9,"500216",24,490,3.86
332,9,"500216",25,122,0.96
333,9,"500216",26,2340,18.43
334,9,"500216",27,2340,18.43
335,9,"500216",28,757,5.96
336,9,"500216",29,8,0.06
337,9,"500216",30,1909,15.03
338,9,"500216",31,16,0.13
339,9,"500216",32,6,0.05
340,9,"500216",33,1,0.01
341,9,"500216",34,65,0.51
342,9,"500216",35,8,0.06
343,9,"500216",36,24,0.19
344,9,"500216",37,102,0.80
345,9,"500216",38,7,0.06
346,9,"500216",39,552,4.35
347,9,"500216",40,49,0.39
348,10,"500224",1,35,0.12
349,10,"500224",2,77,0.27
350,10,"500224",3,73,0.25
351,10,"500224",4,15,0.05
352,10,"500224",5,5207,18.10
353,10,"500224",6,235,0.82
354,10,"500224",7,855,2.97
355,10,"500224",8,14,0.05
356,10,"500224",9,1210,4.21
357,10,"500224",10,22,0.08
358,10,"500224",11,26,0.09
359,10,"500224",12,125,0.43
360,10,"500224",13,31,0.11
361,10,"500224",14,12,0.04
362,10,"500224",15,22,0.08
363,10,"500224",16,181,0.63
364,10,"500224",17,18,0.06
365,10,"500224",18,7,0.02
366,10,"500224",19,46,0.16
367,10,"500224",21,6,0.02
368,10,"500224",22,29,0.10
369,10,"500224",23,22,0.08
370,10,"500224",24,1000,3.48
371,10,"500224",25,213,0.74
372,10,"500224",26,5790,20.13
373,10,"500224",27,5638,19.60
374,10,"500224",28,1669,5.80
375,10,"500224",29,24,0.08
376,10,"500224",30,4080,14.19
377,10,"500224",31,31,0.11
378,10,"500224",32,5,0.02
379,10,"500224",33,3,0.01
380,10,"500224",34,146,0.51
381,10,"500224",35,26,0.09
382,10,"500224",36,35,0.12
383,10,"500224",37,414,1.44
384,10,"500224",38,4,0.01
385,10,"500224",39,1288,4.48
386,10,"500224",40,128,0.45
387,11,"538060",1,1,0.14
388,11,"538060",2,1,0.14
389,11,"538060",3,4,0.57
390,11,"538060",5,178,25.36
391,11,"538060",6,8,1.14
392,11,"538060",7,9,1.28
393,11,"538060",9,25,3.56
394,11,"538060",10,2,0.28
395,11,"538060",12,4,0.57
396,11,"538060",13,1,0.14
397,11,"538060",15,2,0.28
398,11,"538060",16,3,0.43
399,11,"538060",19,6,0.85
400,11,"538060",24,26,3.70
401,11,"538060",25,6,0.85
402,11,"538060",26,128,18.23
403,11,"538060",27,81,11.54
404,11,"538060",28,41,5.84
405,11,"538060",29,1,0.14
406,11,"538060",30,105,14.96
407,11,"538060",31,3,0.43
408,11,"538060",32,1,0.14
409,11,"538060",34,7,1.00
410,11,"538060",36,3,0.43
411,11,"538060",37,19,2.71
412,11,"538060",39,30,4.27
413,11,"538060",40,7,1.00
414,12,"538078",5,40,18.96
415,12,"538078",6,1,0.47
416,12,"538078",7,9,4.27
417,12,"538078",9,4,1.90
418,12,"538078",12,1,0.47
419,12,"538078",14,2,0.95
420,12,"538078",15,1,0.47
421,12,"538078",16,1,0.47
422,12,"538078",19,1,0.47
423,12,"538078",24,13,6.16
424,12,"538078",25,3,1.42
425,12,"538078",26,47,22.27
426,12,"538078",27,36,17.06
427,12,"538078",28,9,4.27
428,12,"538078",30,27,12.80
429,12,"538078",34,2,0.95
430,12,"538078",37,3,1.42
431,12,"538078",39,8,3.79
432,12,"538078",40,3,1.42
433,13,"538124",2,6,1.61
434,13,"538124",3,2,0.54
435,13,"538124",5,85,22.85
436,13,"538124",6,2,0.54
437,13,"538124",7,11,2.96
438,13,"538124",8,1,0.27
439,13,"538124",9,13,3.49
440,13,"538124",12,1,0.27
441,13,"538124",13,2,0.54
442,13,"538124",16,5,1.34
443,13,"538124",19,1,0.27
444,13,"538124",24,42,11.29
445,13,"538124",25,4,1.08
446,13,"538124",26,71,19.09
447,13,"538124",27,58,15.59
448,13,"538124",28,17,4.57
449,13,"538124",30,41,11.02
450,13,"538124",34,1,0.27
451,13,"538124",37,1,0.27
452,13,"538124",39,7,1.88
453,13,"538124",40,1,0.27
454,14,"538175",1,1,0.12
455,14,"538175",2,2,0.25
456,14,"538175",4,1,0.12
457,14,"538175",5,196,24.20
458,14,"538175",6,7,0.86
459,14,"538175",7,12,1.48
460,14,"538175",9,17,2.10
461,14,"538175",12,6,0.74
462,14,"538175",13,2,0.25
463,14,"538175",15,1,0.12
464,14,"538175",16,8,0.99
465,14,"538175",23,1,0.12
466,14,"538175",24,25,3.09
467,14,"538175",25,3,0.37
468,14,"538175",26,163,20.12
469,14,"538175",27,148,18.27
470,14,"538175",28,35,4.32
471,14,"538175",30,104,12.84
472,14,"538175",31,1,0.12
473,14,"538175",34,3,0.37
474,14,"538175",36,3,0.37
475,14,"538175",37,9,1.11
476,14,"538175",39,57,7.04
477,14,"538175",40,5,0.62
478,15,"538205",1,1,0.09
479,15,"538205",2,7,0.66
480,15,"538205",3,5,0.47
481,15,"538205",4,2,0.19
482,15,"538205",5,240,22.64
483,15,"538205",6,11,1.04
484,15,"538205",7,30,2.83
485,15,"538205",9,38,3.58
486,15,"538205",11,4,0.38
487,15,"538205",12,7,0.66
488,15,"538205",13,3,0.28
489,15,"538205",16,9,0.85
490,15,"538205",19,3,0.28
491,15,"538205",21,1,0.09
492,15,"538205",22,1,0.09
493,15,"538205",23,1,0.09
494,15,"538205",24,46,4.34
495,15,"538205",25,10,0.94
496,15,"538205",26,192,18.11
497,15,"538205",27,161,15.19
498,15,"538205",28,58,5.47
499,15,"538205",30,153,14.43
500,15,"538205",31,1,0.09
501,15,"538205",33,1,0.09
502,15,"538205",34,7,0.66
503,15,"538205",35,2,0.19
